T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,Time,Label
0.35,0.35,-0.53,-0.53,-0.09,-0.09,0.62,0.62,-0.09,-0.09,-0.09,-0.09,-0.53,-0.53,-1.41,-1.41,0.09,0.09,0.44,0.44,1.76,1.76,-0.53,-0.53,-0.09,-0.09,0.97,0.97,-0.88,-0.88,0.26,0.26,-0.44,-0.44,-0.53,-0.53,0.79,0.79,-0.35,-0.35,-0.26,-0.26,-0.09,-0.09,0.26,0.26,0.88,0.88,-1.23,-1.23,0.88,0.88,0.35,0.35,-0.53,-0.53,0.09,0.09,-1.41,-1.41,0.44,0.44,1.05,1.05,-3.16,-3.16,-2.29,-2.29,-0.35,-0.35,-0.26,-0.26,-1.49,-1.49,-7.47,-7.47,5.01,5.01,-3.6,-3.6,-0.18,-0.18,0.88,0.88,-0.79,-0.79,-0.35,-0.35,1.58,1.58,-1.14,-1.14,-0.44,-0.44,0.7,0.7,0.35,0.35,0.88,0.88,66,0
0.26,0.26,-0.09,-0.09,-0.09,-0.09,0.7,0.7,0.26,0.26,0.18,0.18,0.0,0.0,0.35,0.35,0.62,0.62,-0.62,-0.62,-0.79,-0.79,0.7,0.7,0.53,0.53,0.09,0.09,0.0,0.0,0.18,0.18,0.7,0.7,0.09,0.09,0.09,0.09,-0.26,-0.26,1.05,1.05,-0.35,-0.35,0.62,0.62,-0.97,-0.97,0.53,0.53,-0.18,-0.18,0.7,0.7,0.18,0.18,0.35,0.35,0.7,0.7,-0.35,-0.35,1.14,1.14,7.03,7.03,-1.76,-1.76,1.23,1.23,0.62,0.62,10.02,10.02,10.02,10.02,-0.79,-0.79,8.7,8.7,2.29,2.29,1.32,1.32,6.77,6.77,3.78,3.78,0.62,0.62,4.39,4.39,8.35,8.35,10.72,10.72,1.23,1.23,0.44,0.44,65,0
-0.44,-0.44,-0.18,-0.18,-0.53,-0.53,0.18,0.18,0.09,0.09,-1.49,-1.49,-1.14,-1.14,-0.44,-0.44,0.18,0.18,-0.53,-0.53,-0.7,-0.7,-0.18,-0.18,-0.62,-0.62,-0.53,-0.53,-0.44,-0.44,-0.79,-0.79,0.7,0.7,-0.18,-0.18,-2.2,-2.2,-1.58,-1.58,0.35,0.35,0.53,0.53,0.0,0.0,-2.02,-2.02,-0.97,-0.97,-0.35,-0.35,-1.05,-1.05,0.7,0.7,-2.37,-2.37,0.18,0.18,0.09,0.09,-0.7,-0.7,-1.76,-1.76,-0.26,-0.26,-1.67,-1.67,0.35,0.35,0.88,0.88,1.67,1.67,1.49,1.49,-1.58,-1.58,-0.09,-0.09,1.49,1.49,-0.88,-0.88,-0.35,-0.35,-0.62,-0.62,-0.88,-0.88,-0.35,-0.35,-0.09,-0.09,2.11,2.11,1.93,1.93,66,0
-0.18,-0.18,-0.18,-0.18,1.23,1.23,0.18,0.18,0.62,0.62,0.26,0.26,-0.97,-0.97,0.53,0.53,0.97,0.97,-0.09,-0.09,-0.35,-0.35,-0.09,-0.09,1.05,1.05,-0.35,-0.35,0.26,0.26,0.44,0.44,1.49,1.49,0.0,0.0,-0.62,-0.62,0.0,0.0,1.76,1.76,0.09,0.09,-0.62,-0.62,-0.26,-0.26,0.79,0.79,2.64,2.64,-0.26,-0.26,0.18,0.18,1.32,1.32,0.97,0.97,0.62,0.62,1.49,1.49,-2.9,-2.9,7.03,7.03,-1.23,-1.23,0.0,0.0,3.34,3.34,2.55,2.55,1.93,1.93,4.13,4.13,2.72,2.72,2.64,2.64,1.93,1.93,-2.02,-2.02,2.81,2.81,7.03,7.03,0.26,0.26,1.41,1.41,0.7,0.7,1.49,1.49,66,0
-0.35,-0.35,0.53,0.53,0.35,0.35,0.35,0.35,-0.35,-0.35,2.02,2.02,0.62,0.62,0.26,0.26,0.35,0.35,-0.79,-0.79,0.62,0.62,1.14,1.14,-0.88,-0.88,1.67,1.67,0.53,0.53,0.88,0.88,-0.88,-0.88,0.79,0.79,0.26,0.26,2.29,2.29,-1.67,-1.67,0.0,0.0,2.72,2.72,0.44,0.44,-1.14,-1.14,0.44,0.44,-0.18,-0.18,0.79,0.79,1.93,1.93,-0.26,-0.26,0.79,0.79,3.43,3.43,0.53,0.53,3.52,3.52,-0.44,-0.44,4.48,4.48,8.79,8.79,10.11,10.11,13.89,13.89,8.61,8.61,3.34,3.34,9.58,9.58,11.6,11.6,8.09,8.09,8.88,8.88,2.72,2.72,8.79,8.79,-0.09,-0.09,10.37,10.37,10.02,10.02,63,0
0.0,0.0,-0.88,-0.88,1.49,1.49,0.18,0.18,-1.23,-1.23,-0.09,-0.09,0.09,0.09,-0.18,-0.18,0.09,0.09,0.09,0.09,-0.44,-0.44,-0.97,-0.97,0.26,0.26,1.14,1.14,-0.62,-0.62,-0.26,-0.26,0.0,0.0,0.09,0.09,-1.05,-1.05,-0.26,-0.26,-0.35,-0.35,-0.26,-0.26,0.09,0.09,-0.7,-0.7,0.0,0.0,0.18,0.18,-0.18,-0.18,-0.18,-0.18,-0.79,-0.79,0.0,0.0,0.0,0.0,-0.09,-0.09,-1.23,-1.23,0.53,0.53,3.16,3.16,3.96,3.96,-0.26,-0.26,4.31,4.31,0.0,0.0,6.33,6.33,-0.18,-0.18,1.49,1.49,5.19,5.19,3.25,3.25,1.05,1.05,4.13,4.13,2.02,2.02,0.97,0.97,-0.09,-0.09,2.29,2.29,66,0
-0.53,-0.53,0.18,0.18,2.46,2.46,0.88,0.88,-1.05,-1.05,0.53,0.53,1.93,1.93,0.53,0.53,0.62,0.62,0.35,0.35,-0.7,-0.7,0.62,0.62,0.53,0.53,1.41,1.41,0.62,0.62,0.0,0.0,0.88,0.88,-0.18,-0.18,0.62,0.62,0.62,0.62,0.09,0.09,0.53,0.53,0.53,0.53,0.79,0.79,0.0,0.0,0.44,0.44,0.44,0.44,0.44,0.44,0.7,0.7,1.58,1.58,0.7,0.7,0.09,0.09,1.05,1.05,0.35,0.35,2.46,2.46,5.36,5.36,1.58,1.58,2.9,2.9,1.49,1.49,3.78,3.78,2.9,2.9,0.26,0.26,1.58,1.58,5.63,5.63,4.48,4.48,4.48,4.48,0.7,0.7,1.14,1.14,1.67,1.67,5.8,5.8,65,0
-1.14,-1.14,-0.53,-0.53,1.41,1.41,0.09,0.09,-0.26,-0.26,-0.26,-0.26,0.18,0.18,0.0,0.0,1.32,1.32,0.09,0.09,0.7,0.7,-0.62,-0.62,-1.23,-1.23,1.05,1.05,-0.26,-0.26,-0.62,-0.62,-0.18,-0.18,0.18,0.18,0.09,0.09,0.44,0.44,-0.53,-0.53,0.26,0.26,0.09,0.09,1.41,1.41,-1.85,-1.85,0.0,0.0,1.05,1.05,-0.35,-0.35,0.44,0.44,0.09,0.09,0.18,0.18,-0.62,-0.62,0.0,0.0,-0.09,-0.09,0.09,0.09,-0.7,-0.7,-0.35,-0.35,4.04,4.04,-0.26,-0.26,1.32,1.32,0.7,0.7,0.35,0.35,0.26,0.26,2.55,2.55,0.18,0.18,0.26,0.26,0.09,0.09,0.09,0.09,0.09,0.09,0.18,0.18,66,0
-0.09,-0.09,-0.35,-0.35,-0.44,-0.44,0.26,0.26,0.88,0.88,-0.35,-0.35,-0.53,-0.53,-0.44,-0.44,-0.35,-0.35,0.18,0.18,-0.53,-0.53,0.35,0.35,-0.09,-0.09,-0.35,-0.35,-0.53,-0.53,-0.09,-0.09,-0.09,-0.09,0.88,0.88,0.0,0.0,0.26,0.26,-0.88,-0.88,-0.97,-0.97,-0.7,-0.7,1.67,1.67,-0.09,-0.09,-0.44,-0.44,-1.05,-1.05,0.88,0.88,0.7,0.7,-0.79,-0.79,-0.18,-0.18,-0.79,-0.79,0.7,0.7,-0.18,-0.18,-1.76,-1.76,-3.34,-3.34,-1.85,-1.85,-7.38,-7.38,1.49,1.49,0.97,0.97,-2.46,-2.46,-0.79,-0.79,-3.69,-3.69,0.35,0.35,-1.67,-1.67,-1.05,-1.05,-2.9,-2.9,-0.44,-0.44,-1.76,-1.76,-1.49,-1.49,66,0
-0.35,-0.35,-1.23,-1.23,-0.53,-0.53,0.7,0.7,-0.35,-0.35,0.09,0.09,-0.26,-0.26,-0.97,-0.97,0.0,0.0,-0.97,-0.97,-0.44,-0.44,0.09,0.09,-0.26,-0.26,-1.67,-1.67,-0.53,-0.53,-0.79,-0.79,0.44,0.44,0.26,0.26,-0.53,-0.53,-0.35,-0.35,-0.26,-0.26,-0.35,-0.35,0.09,0.09,-0.62,-0.62,0.18,0.18,-0.7,-0.7,-0.26,-0.26,-0.26,-0.26,-1.14,-1.14,0.18,0.18,0.09,0.09,0.97,0.97,0.53,0.53,4.04,4.04,-1.93,-1.93,1.93,1.93,1.85,1.85,-0.88,-0.88,3.52,3.52,2.02,2.02,-0.26,-0.26,-0.79,-0.79,0.26,0.26,1.76,1.76,5.54,5.54,-0.26,-0.26,-0.35,-0.35,-0.09,-0.09,1.85,1.85,0.09,0.09,65,0
