T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
-12.13898982,-8.588334443,-8.546188638,-8.460941898,-8.32945406,-11.884382,-11.91634603,-11.97982018,-12.04059949,-9.261999605,-9.191353393,-9.116903457,-9.091634405,-9.532961567,-9.569656642,-9.604396334,-9.604396334,-9.831274436,-9.819587127,-9.819587127,-9.842265001,-7.655725314,-7.669764291,-7.655725314,-7.655725314,-6.485185527,-6.485185527,-6.438565826,-6.438565826,-6.483606465,-6.483606465,-6.512113233,-6.512113233,-6.193775374,-6.193775374,-6.193775374,-6.153467823,-4.819401138,-4.884084925,-5.049630353,-4.988817674,-1.599159706,-1.599159706,-1.613714439,-1.63509425,0.999528246,0.99970149,0.999981342,0.99992537,0.999832084
0.404999362,0.541182575,0.675366456,-4.496308167,-4.605096628,-4.822124411,-4.981851053,3.83249301,3.83249301,3.958173687,4.209517756,-0.134387009,-0.134387009,-0.134387009,-0.26875396,-0.427539185,-0.427539185,-0.342050494,-0.25654904,-1.346279249,-1.346279249,-1.279564528,-1.21280206,-3.579434379,-3.642905304,-3.642905304,-3.76943698,-1.265000759,-1.265000759,-1.265000759,-1.156044872,-3.995998136,-3.995998136,-4.065915258,-4.100646887,-2.079618493,-2.026089995,-2.026089995,-2.133069388,1.069693489,1.069693489,1.196281815,1.196281815,-1.970511615,-1.970511615,-1.998545966,-2.082197388,0.073819976,0.092138893,0.128765729
-4.043171228,-4.043171228,-6.032522697,-5.941885369,-5.848427119,-5.848427119,-6.663031641,-6.663031641,-6.663031641,-6.663031641,-6.495448628,-6.412734736,-6.412734736,-6.329781549,-8.861197497,-8.63578505,-8.787100472,-9.008396812,-6.447135279,-6.447135279,-6.294831434,-6.141588017,-8.180560585,-8.257211101,-8.333553495,-8.409584918,-7.555099534,-7.555099534,-7.555099534,-7.555099534,-5.349423232,-5.453707057,-5.504807401,-5.504807401,-3.196208987,-3.196208987,-3.196208987,-3.196208987,-3.494879245,-3.494879245,-3.595942826,-3.696469674,-1.222506845,-1.174189082,-1.174189082,-1.125827505,0.612811208,0.58162024,0.612811208,0.612811208
1.045225366,0.610283435,0.610283435,0.61511119,0.61511119,0.956965664,0.958720536,0.958720536,0.960439633,-0.329750928,-0.341794804,-0.365843845,-0.378190886,2.999496253,2.999496253,2.999496253,2.999776109,1.906592313,1.910246798,1.913931328,1.913931328,2.910125563,2.910125563,2.914523307,2.914523307,1.561297221,1.561297221,1.553632687,1.553632687,1.996248256,1.996248256,1.996248256,1.99543951,2.222280932,2.222280932,2.222280932,2.222280932,3.891111316,3.918937938,3.891111316,3.777549767,-4.520039739,-4.520039739,-4.479722239,-4.46607246,1.365632254,1.407545448,1.407545448,1.365632254,0.244890984
1.701858987,1.755812898,1.172807922,1.222506845,1.222506845,1.222506845,0.440473561,0.403912555,0.367336476,0.367336476,0.441018931,0.465296192,0.489556091,0.489556091,-0.049566082,-0.049566082,-0.024434458,0,0.184090619,0.184090619,0.153564821,0.153564821,0.367931605,0.398385006,0.398385006,0.398385006,0.147072281,0.147072281,0.165373345,0.165373345,-1.933914014,-1.930763278,-1.930763278,-1.927540494,-1.802607922,-1.802607922,-1.802607922,-1.797281942,-0.534942323,-0.529771244,-0.524580396,-0.524580396,0,0,0,0,0.585270966,0.585270966,0.530738889,0.530738889
