T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-6.3,-6.3,-6.3,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,2.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-14.1,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,-0.4,-0.4,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-9.5,-6.0,-6.0,-6.0,-6.0,31,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-7.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.0,-6.0,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,13.4,0.0,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,32,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,33,0
8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.1,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,-0.4,-6.3,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,31,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.0,-6.0,-6.0,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,19.7,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,-6.3,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,7.7,-0.4,-0.4,-6.7,-6.7,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,32,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-10.5,-6.3,-6.3,-6.3,34,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,1.8,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-5.3,-6.3,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-17.6,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-14.8,-6.3,-6.0,-6.0,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-11.6,-6.0,-6.0,-6.0,-6.0,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.3,-6.3,-6.3,-6.3,-6.3,33,0
11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,10.5,10.5,10.5,10.2,3.9,3.9,3.9,3.9,3.9,3.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-6.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-6.0,-6.0,-6.3,-6.3,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-7.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.3,-6.3,-6.3,-6.3,33,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,15.1,-0.4,-0.4,-0.4,-0.4,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,33,0
24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.3,-6.3,-6.3,-6.3,-6.3,31,0
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,15.1,-0.4,-0.4,-0.4,-0.4,-0.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-20.4,-6.0,-6.0,-6.0,-6.3,33,0
